Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Game Funtions,Chrome 73.0.3683.86,,2019-04-08 13:00:26,2019-04-08 13:00:30,4.122s,PASSED
,,,,,,
Test Cases/Test Case 1,Chrome 73.0.3683.86,,2019-04-08 13:00:26,2019-04-08 13:00:30,3.952s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-08 13:00:26,2019-04-08 13:00:29,2.747s,PASSED
"navigateToUrl(""https://danachristopherson.github.io/Rock-Paper-Scissors-Game/"")",Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:29,0.239s,PASSED
"verifyElementText(findTestObject(""Test_1_OR/Page_Rock Paper Scissors Game/p_Lets Play""), ""Lets Play!"")",Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:29,0.055s,PASSED
"mouseOver(findTestObject(""Test_1_OR/Page_Rock Paper Scissors Game/div_AI_rock""))",Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:29,0.041s,PASSED
"click(findTestObject(""Object Repository/Test_1_OR/Page_Rock Paper Scissors Game/img""))",Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:29,0.050s,PASSED
"verifyTextPresent(""Your"", false)",Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:29,0.033s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-08 13:00:29,2019-04-08 13:00:30,0.583s,PASSED
